dollars_pledged,campaign_duration
20,30
1497,30
8795,30
2,35
230,37
9316,45
161,30
0,30
306,30
111,20
405,30
101,30
2,60
2525,30
1525,30
1494,30
3667.13,16
5847,30
425,60
1,30
1488,25
20,51
1026,30
1401,30
12545,30
30,60
1651,30
6419,40
0,30
0,30
281,45
4001,45
185,28
0,30
281,30
8086,30
1254,30
0,30
9071,30
5276.01,35
4268,33
45026,40
7071,60
242014,46
912,30
26206,21
10604,30
30,30
6000,40
310,30
5117,26
978,45
0,14
2470,30
5475,60
4373,50
306,45
2246,44
300,30
2880,14
1752,30
8046,24
0,30
57,42
870,30
1592,14
668,60
0,30
4063,24
2345,43
206,60
2500,30
1,30
75064.49,30
5,46
2587.11,30
0,30
2251,30
61,9
0,22
9170,40
711,32
31376,37
2245,30
1979,30
5816,31
20,60
9,35
1620,26
0,30
1486,47
2225,35
174010.09,30
1028,35
1643,30
4229,23
12080,90
225,30
50,59
30,30
3260,28
10,30
0,30
170,50
80,30
150,40
20,10
7800,30
734.5,60
1000,48
2685,45
26936.4,30
0,60
0,30
0,21
0,30
4587,8
0,30
5001,30
2046,30
5316,30
2751,39
26,15
1,30
0,45
0,30
0,45
5558,51
0,60
2512,32
0,15
25,40
4736,24
10538.02,35
500,60
3221,30
755,21
6,40
100,45
5465.02,47
0,30
0,30
2556,60
443.25,30
25815,31
586,27
3577,30
0,30
25201,30
5,21
2295,15
11722,29
35987,43
489,25
0,7
5226,21
10694.67,41
801,30
0,30
1075,24
55,24
236,30
1310,56
66,11
0,27
31776,30
270,21
81,30
345,30
740,31
25648,30
1681,28
8141,30
25751,45
451,30
20142.18,30
136,60
3582.45,35
0,30
110,30
30,10
3175,33
0,60
2342,60
17176.12,30
260,30
2510,30
201,45
7184,45
0,30
0,30
813,30
8567.77,90
1603,30
4080,20
6504.01,31
120,60
0,30
738,30
25,30
260,45
10652.42,35
0,30
22064,30
20731.33,35
424615,31
241,30
4343,30
25,14
457,15
2587,30
9000,60
61422.7,35
2879.66,30
21,30
2500,7
50,86
5621,38
14450,60
0,21
37994.34,27
815,30
62.66,60
196,30
0,30
365,30
9666,30
11,60
311,30
1056,18
6347,30
1323,11
24,15
4361,31
4052,30
21,30
5656,15
6190,30
40,30
270,30
83,30
0,6
725,30
806,24
5260,30
1525,82
62367,40
100,30
70,30
10121.73,34
1010,46
0,30
9,30
4081,30
0,30
0,60
4280.66,59
780,19
1170,30
64,30
0,29
52,30
107,60
0,40
0,59
1505,30
10,14
4542,60
4737.99,45
883460.8,42
180,21
112476.44,40
3015,30
50,30
225,30
0,30
0,30
4228,30
0,55
1438,34
830,30
28109,30
5275,42
1,60
7010,30
1,30
868,18
10,45
135,30
864,30
16837,30
1228,30
1050,90
290,30
10433,35
3030.06,58
7957.91,17
0,30
2625,30
2000,59
1,45
214,30
75,30
36021.98,32
0,41
5400,60
100,30
520,30
5,45
41656,30
2562,20
105,61
11,15
0,30
265,30
8255,31
2850,17
0,30
45,30
2506,30
0,60
14057,33
399,30
1101,30
25,31
4208,30
0,30
5387,30
7336,30
9527,30
10178,34
0,90
2207,29
3405,12
6172,31
5145,30
9228.66,30
146,30
0,30
0,30
8076,32
0,30
740.58,40
110,30
640.5,35
41,20
1,60
1214,60
60,29
10406,30
1,28
2276,30
0,30
10795,60
15,32
0,30
1250,30
121,15
5475,30
2155,31
2,24
1072,30
5155,30
0,30
1000,30
50,35
1885,30
5275,30
0,45
136,30
19770,32
225,29
1657,33
0,35
1552,30
5150,30
51,30
1617,45
210,45
240,60
155,44
930,24
91,30
0,30
8593,35
374.83,30
0,60
15195,22
1,30
1455,14
20535.2,40
95,30
1826,30
0,30
0,30
9355,30
252,30
2287,30
1123.45,61
3012,60
25805.85,15
0,30
6089,72
5,30
6,60
8041,45
0,30
200,30
1327,36
11507,30
14851,25
8354,45
148,30
0,20
2046.13,14
795,19
1135,30
25025,30
954,30
33,30
0,16
901,30
12497,28
10375,30
28490.42,20
146,30
475,30
10,30
3725.37,23
320,31
520,30
1,86
1200,31
1,60
80,91
0,58
2819,28
3180.51,25
0,88
1602.71,39
1670,20
898,30
3,30
25,60
14472.18,30
18979,45
7940.5,31
1131.69,30
0,30
305.01,15
646,30
30806.06,43
2696,29
584,31
3436,31
30,41
56,60
5436,35
5554,45
0,60
41,30
4590,24
0,30
2,60
6758,30
2045,30
534,45
21011,14
1950,30
2778,30
25,28
1561,33
16602,30
320,32
0,32
360,30
0,30
201,30
241,30
0,30
59,30
3520.92,90
11720,46
3169,30
2605,30
78,30
0,25
0,60
532,30
2645,20
2436,38
0,60
2101,35
63,19
6280,30
412,30
0,30
0,30
105,27
0,30
5599,47
882,23
376,58
2480,31
0,30
631,23
0,30
13066,31
5,30
8424.5,59
6031,25
23001,30
1300.98,30
12242,33
16926,31
3282.66,30
903,30
76,30
3239,60
0,30
40,45
12701,2
0,59
1,25
131,50
935,30
1540,25
130,30
502,29
15424.25,45
2,30
95,30
780,10
4409.77,60
12695,30
1032,30
25269.61,45
1016,60
125,90
10903.17,16
20,60
4240,60
132023.5,57
520,60
2,30
51,60
0,30
0,30
2557.01,22
0,30
7310,42
2697,30
40905.35,35
32000,32
1,27
11040,30
10135,32
162,30
70,30
16,30
140,16
1336,30
210,30
3875,30
0,30
0,16
4019,18
316,60
116270,41
16595,16
126,30
1,60
142,30
5,30
11305,56
1,35
160,30
1,30
0,15
1170,9
355,60
5,30
237,30
1656,11
1,30
720,40
51,30
500,19
2,60
57,30
17000,30
3327,46
0,29
1630,45
203188,30
0,30
0,30
5025.5,60
6003.4,38
0,50
3375,23
5138,30
0,52
3050,31
0,43
946,30
0,30
262,33
3230,15
0,60
22,30
5522,27
860,21
50,30
3345,30
12307,31
0,30
1307,30
3076,29
1951,30
0,60
2318,30
255,32
1,45
1,30
225382.99,30
172301.53,60
1715,29
23,45
114,40
8995,30
3187,30
0,45
6172.61,30
1156,13
125,21
744,45
22928.77,60
7560,36
2101,30
4102,30
2022,30
10609,30
9638,34
835,60
19880,30
0,41
575,45
2363,33
70442,30
3900,35
50,60
12675.21,30
25206,31
0,30
2427.88,37
1415,45
11567,50
1580,60
23141.5,30
1236,30
25,33
0,30
4820,30
3143,32
44873,31
7630,60
2,25
27238,31
1849.69,60
846,38
25,30
61,30
70,30
1530,30
3805,15
36,60
40,30
52837,29
1154,37
0,30
0,60
6,30
8105,48
1205,60
115,30
220,45
0,30
3011.69,20
21390,37
4179,33
10724.54,30
301,30
0,30
10802,22
36082,30
0,30
286,30
0,30
65,23
35,30
2,38
395,30
0,30
7854.66,32
4116,30
224,30
21244,39
26893,30
770.89,45
62,30
10174.59,45
0,30
25,30
9010,25
6634,34
6023,32
0,15
912,27
2805,30
0,37
4068.99,30
0,35
0,30
2287,30
0,30
1,16
5476,10
343,30
1057,36
105,30
3050,30
4218,30
1330,30
0,30
1977,45
1,60
26042.5,30
475,45
2223,18
0,26
1005,30
6050,35
18492,45
698,29
1,30
1310,25
740,28
1516,22
125,60
0,60
278,59
461,30
195,40
0,45
8326,45
2164,30
97,30
20,30
10,30
0,30
15,30
8351,30
2630.77,32
180,60
3330,33
4002,30
0,28
3496,40
4463.03,36
1245,89
5309,28
12160,36
137385,30
50,30
1559,30
2360,36
2459,33
20,60
34660,30
11261,30
1,30
292,22
440,30
6294,45
300,33
1631,32
1,28
40,19
5,30
4402,35
20,30
27357.2,30
845,30
1500,25
1625,30
8272.5,15
0,30
235,30
305,30
400,38
82082.01,60
0,31
5738,30
7669,30
8941,31
60,28
0,60
0,60
11,10
30.5,30
135,45
2438,30
50,32
151,30
585,28
0,30
0,30
200,32
573,30
31,60
6142,25
638.1,32
40,60
31247,36
9425,31
0,13
2693,30
215,30
0,7
515,30
0,60
7550,29
183,30
1,30
109341,31
585,33
1240,61
886,30
11,45
145,30
4653,44
80,55
2695,31
0,25
5727.01,30
0,30
5760.02,17
0,59
81797,30
8285,30
690,60
1,29
945,15
20622.01,38
65,30
146,59
591,60
2,30
578,32
10,30
140,15
2588,29
0,40
3053,30
5130,35
23636.18,30
824,21
682,15
0,61
10463,35
8435,30
280,40
1277,31
7573,25
0,60
1000,32
2582,30
3298,30
470310.46,30
0,30
9177,34
1050.37,41
26385,45
3705,40
160,30
10010,30
0,60
2010,30
25,47
27200,30
10785,42
23051.41,33
2530,22
25,49
0,22
3,30
120,60
2603.23,24
29404,36
1,30
2,31
50,60
20150,31
6,45
14056.99,38
35784,32
35,30
5890,33
0,60
104983.42,24
35,33
187849,43
6784.52,30
1640,30
4929,36
60,29
128785,35
3347,60
28,33
4075,30
95,86
9335.19,37
140,37
8008.14,30
174,60
22,30
0,30
500,51
270,38
268,31
2100,30
260,30
0,30
2005,14
2863,20
37104,29
189,30
25,30
235,30
0,30
0,30
543,60
14709,45
565,41
1035,30
0,30
0,30
0,30
1,60
0,14
0,30
386,31
0,30
11,30
802.59,22
2354,30
9305.67,30
6535,33
13417,32
224,28
7500,29
2,40
0,13
200,30
15390,29
0,90
3496,43
460,37
130,30
0,30
535,14
1570,24
0,45
315,45
0,40
0,30
1951,30
1,30
81,30
10729.36,36
5411.91,30
0,50
111,53
31956,45
0,30
8760,35
2015,24
710,26
3930,33
2160,46
2136,30
0,60
8671,30
1,30
0,30
31,40
0,30
2010,44
75,30
18422,60
20,30
1501,30
0,30
3695,30
7930,30
13205,50
9249,30
10721.22,90
6592,15
1,30
2822,30
422,26
10215,30
130,30
93,30
785,30
35.25,30
150,30
20,30
380,30
4735.75,60
3840,30
179,25
0,30
11354,30
100,30
255,14
549,14
8914,35
3235,23
1200,9
10860,30
3606,32
0,30
15390,33
0,25
382,30
5035,40
5,62
25645,45
205.03,48
0,45
49857.5,31
45,30
6137,30
1,30
15431,30
5550,31
13017,36
142,45
1113.08,35
1875,30
1540,52
3986,30
2,60
1200,45
405,30
357,30
136,30
9755,30
25,30
1,30
8,30
11747,30
500,30
10390,15
2531,52
0,30
3251,35
20,30
63423,30
14197.29,29
50,30
0,30
2670,30
2251,30
5625,26
9,21
1935,35
3480,30
1,35
1000,30
4645,66
1185,89
25,60
8000,30
90,30
6596,30
2278255.33,30
360,10
180,30
25,30
5,60
25352,50
10195,20
3450,30
145,60
1005,30
0,60
3152,30
475,30
3060,42
55,30
2300,45
116,60
1286,30
15732,55
150,15
3673.05,30
2273,30
285,42
155,33
6330,30
1,30
25,30
20,60
2215,30
0,30
264,30
0,30
12057,41
530,60
4720,31
180,60
1339.78,7
0,30
8125.99,25
1,45
50,17
10585,17
1255,30
2043,30
280,30
6436,59
305,30
176,34
45,30
7741,30
15,30
26,31
564,60
279,35
14385,35
136,60
1795,12
6,30
900,30
3170,33
4660,25
31435.99,30
3340,40
0,30
1149,26
0,30
1825,30
0,60
243,60
15059,60
20,60
0,30
0,14
65980.72,45
5078.75,31
7433,30
2083,46
0,30
100,30
1692,27
7230,30
1581,30
1490,30
1,30
1590,24
23297.01,30
0,30
209,30
56,59
160,40
25800.5,27
0,57
70,13
0,20
100,21
3011,30
45198.5,30
18410,8
31,30
3137,10
10,30
12605,41
929,35
100,30
41,25
2253,14
0,30
0,30
10444,33
15058.5,23
0,8
25,30
11,30
3315,25
56998,31
398,10
10,30
12030.45,34
0,69
470,23
3086,24
5070,61
4144,45
31520.25,30
3848,23
20,10
75,30
8360,30
3316,16
1,15
0,26
1306,45
3805,33
2071,30
1572,48
851,30
1415,60
182,60
0,30
9941.15,31
151,60
2207,30
534.17,14
5,33
0,30
1084,36
20,30
2600,30
4545.51,60
58493,45
415,36
25,52
11887,33
220,15
0,30
1,26
833,30
4048,30
3370,30
490,25
2396,30
1026,25
4000,31
10333,30
565,24
1499,30
1136,29
544,52
120821,30
152,31
565,37
6575,20
3472,26
1375,30
1930,40
84356,28
9273,20
276,47
10,45
10405,30
293,55
100,90
0,60
507,32
4380,30
2,13
14028.56,30
3340,32
24234,28
110,15
140,60
19,60
603,35
3455,30
10218,46
1360,60
10,30
0,60
0,30
2494,32
810,25
5060.42,30
10267,29
50,38
0,30
0,29
0,33
27175.64,27
0,30
25,30
2700.01,30
5070,42
70,30
25,30
5480.88,31
283,29
40,30
201,16
10799,27
150,40
0,30
25070,60
5838,30
176,30
295,45
28,30
570,90
310,30
1647,30
151,60
25,30
100,83
2106,41
825,60
76,30
51766,35
1800,30
3096,16
1133,27
1,45
33,60
361,30
7867,30
90,30
0,30
80,60
0,30
13235,40
132,31
46219.01,31
8971,31
20,30
415,10
42392,40
9173,28
5626,15
32228.14,33
110,30
25,45
1690,30
5410,60
450,30
25016.76,42
848,35
90535,31
0,30
0,30
26.02,40
50839.86,28
3143,30
22584.82,30
2,30
39693.28,30
11464.77,40
3430,30
0,30
22614.6,30
70,15
0,10
2333,30
75,45
410,30
0,60
1236,45
10355,30
654.17,30
5,30
50,30
34045,28
372.5,25
5912.11,30
175,30
130,30
130,33
42074,45
700,33
1,40
8046,60
0,23
3002,30
0,30
0,60
1440,30
101,59
2075,45
724,30
11892.7,30
46,14
175,15
0,30
1,30
536,11
520,30
360,37
20,30
15,50
25,30
51182,31
6595,31
30940,50
1825,36
1433,45
3250,30
32430.31,45
0,30
10170,36
2570,30
259,46
6249,30
11252,30
8056,54
1,30
635,30
2090,33
100,60
10850,34
0,30
175,60
8406,40
8171,40
850,45
75,30
724,30
27,40
0,66
1,30
116,30
1,30
4565,30
0,30
210,45
9158,25
660,60
286,30
71200,30
0,30
10020.99,50
0,33
242,60
35,30
2013,30
1,30
2000,33
1466,30
0,41
11,25
19429,33
26333,45
7857,11
550,60
2484,30
3718,61
5,41
2525,30
8725,35
189,34
177,14
845,45
17915,45
1506,29
2530,60
35123,38
3950,29
143,35
53433,30
17650,30
360,30
60,35
982,43
1,30
552,28
5428.99,46
1053.96,41
1700,39
0,60
0,72
3049,40
0,30
1268,60
0,23
1220,30
547,30
3505,30
1.15,30
15747.77,30
25,30
1806,39
57,30
1628,66
35,60
26109,31
0,30
225,30
1000,21
3690,60
132,60
0,40
4635.08,30
150,30
1089,10
241,30
2000,25
105,34
0,30
2055,31
1200,30
225,60
0,30
12809,33
26,30
160,60
0,60
5160,30
24944,18
1206,30
1451,30
3504,35
25,60
601,42
20000,89
15694.01,40
3950.63,60
0,56
110,30
0,30
316,40
0,30
0,53
0,30
2,60
60,47
1890,30
108,30
0,60
5681.44,60
6,29
4211,21
255,30
161731.48,30
925,16
6099,30
220,11
600,90
130,60
17512,30
500,30
750,30
140,34
0,30
0,30
1100,30
250,30
12850,60
1322,39
105,90
510,30
3555,30
11972.04,25
319,29
38,33
2922,34
699,30
2049,30
0,31
16665.45,32
25,30
6,30
281,50
16,60
20918,30
3091,30
10371,46
651,30
1250,24
3813,30
0,30
74,30
776,40
5,47
3192,30
1638,30
10007,30
15878.78,34
1000,30
275,25
0,45
1,30
400,30
25,30
12163,30
2240,32
719,30
661,20
2166,60
0,35
30,30
200,30
0,30
20,42
62,30
225,30
327,30
110,30
50,60
3505,60
15,32
11798,60
1035,30
0,60
352908,60
3711,28
1200,27
0,58
4205,18
1420,55
13385,30
2126,35
104,30
1301,21
255,30
95485.56,37
0,38
4398.83,17
2065,90
480,7
0,34
45,25
156,30
640,15
18579,20
81,28
7598,32
0,18
13875,38
0,41
25060,32
0,30
105,60
10,30
325,87
0,36
12460,35
70,90
674,30
0,30
1165,45
3758,36
7341,35
952.99,30
11545,30
22,30
0,30
6050,30
23326,30
20,30
346772.24,36
14585.5,30
1269,31
180,60
3500,36
2265,35
0,30
138,58
0,21
5725,40
552,42
357,30
7706,37
11195,17
0,30
0,30
35,30
2500,35
0,31
10,30
5180,17
15,30
13065,45
10,43
73,30
1031,30
19276,36
0,20
0,30
13756,30
1028,45
3,30
126,40
7606.71,25
34087.77,30
27171,30
262,30
42995,30
2520,30
1090,41
53840,35
70,60
13157,24
2,30
9561,34
0,60
3528,32
602,26
1615,30
4052,35
2593,31
6272,36
2785,30
0,60
3396.77,30
71,30
1,30
50523,45
94,30
4250,30
10255,30
5,60
0,30
0,60
25,30
48859,39
13348,30
1072,30
19557,30
2,30
250,30
0,30
3228,25
0,29
14439,45
0,60
1800,26
0,60
1300,28
8540,41
780,7
776,28
0,3
4370,30
0,30
5917,30
45,37
10131.01,30
26,30
25,25
58,30
676,29
165,49
0,30
503,39
490,89
3653,86
30,30
0,30
338,30
1364,34
0,30
2004,45
0,30
1085,60
335,30
500,1
17,30
50,21
24688.5,21
690,30
290,29
3,43
1,31
0,23
15050.01,30
45,30
151,35
5348,31
140,60
121,30
45,54
85,55
0,30
252,45
829,30
0,31
0,20
1,29
13701.35,14
0,29
3582,18
370,13
41,60
2962,45
325,30
10,30
84,30
2501,30
0,40
790,41
145,30
2680,54
338,14
210,30
8245.11,30
0,31
77,7
510,34
3453,30
7,30
390,45
16,45
1756,46
65,5
64325,28
776,40
10535,32
565,30
100,30
4712,32
973,15
1505,30
4973,60
2525,60
2087,30
75,30
5467,30
1780,31
9011,35
16038,29
3369,30
590,47
125,60
285,46
7594.33,33
1115.77,33
4260,30
35138,35
6156,60
2971,30
542,30
1687,20
2661,30
584,30
3,60
1,30
0,30
1080,25
302,40
135,30
1,30
3205,91
8300,61
8077,48
1320,34
32535,45
26,17
690,30
60470,28
0,30
10,30
0,30
545,84
423,30
0,21
8036,41
1,40
100,60
120,59
4456.66,30
34440.25,30
18727,30
13201,37
360,30
693.5,14
797,30
280,30
300,30
30,30
19507,31
2175,30
500,30
1002.72,30
815,30
2510,25
26,59
14961,21
115,33
687,33
2610,60
401,30
0,30
2281,33
1301,20
1116,30
30202.01,32
413,30
380,30
0,60
52275.66,30
0,44
220,29
510,11
5307,31
4169,31
0,30
4,30
316,7
12797,30
3025,60
40,30
620,45
151,30
100,40
3752,60
31,54
0,9
393,40
330,30
1003,30
4638.38,60
0,36
0,30
571,30
10170,21
1895.01,30
16,15
100,60
0,60
135,36
4130,45
35,35
100,30
64,30
6,30
19815,31
493,60
25,30
110,21
479,60
110569.56,31
6281,30
0,30
0,30
2606,33
896,30
153,30
0,60
7138,34
161169,30
65,30
5614,50
3053,45
11827,30
2774,47
220,30
26131,30
2461,30
734,30
1,30
15371,30
40131.37,30
327,37
0,40
145,30
8718,30
749,40
5300,25
45,7
5552,42
2000.18,30
17025,34
1375,16
0,60
105,30
0,60
4113,75
2106,40
5128,20
20576.5,30
69,30
0,55
1,30
3076,60
596,30
10,30
1828,30
3770,36
0,20
1312.48,89
32,30
0,30
1500,15
75,60
13537,30
8255,31
235,60
425,31
685,30
6086,30
286,30
507,20
4665,38
15110.83,76
7000,35
1545,40
0,19
2611,30
15212,45
139,60
10442,30
21732.5,30
346,30
26,30
2160,45
0,60
35,30
3602,21
215,40
305,31
106,7
1858,30
0,35
690,30
107235.02,35
0,23
1,54
20,30
1690,40
836,35
3221,31
320,30
1055,30
43389,30
0,61
891,45
3417,25
2098,5
2990,30
210237.42,45
12582,30
46253,30
5207.79,30
295,30
1001,30
0,30
24578,31
26,30
1,30
3939,34
964,40
4062,22
5005,30
1,30
0,30
32245,30
44748,30
0,30
0,30
0,30
5,30
15516.71,15
201,30
105,29
0,30
1335,22
4733,30
28941,45
1846,40
1731,27
1709,30
3000.74,66
0,30
2176,30
2513,30
130,30
2,30
15838,42
0,35
3206,45
0,30
5870,30
25,30
1,30
0,60
106,60
5000,30
0,30
20,39
2634,35
11313,30
7855.43,51
1065,46
525,30
1,30
7715.74,37
201,30
315,30
25555,30
12044,33
5277,30
0,30
42,44
1890,45
5115,30
24351,16
862,45
0,60
15,30
0,30
25,45
0,30
3746,30
1172,30
1700,30
559,30
24268,30
1044,37
740,45
1575,30
712,60
1540,23
16935,30
500,30
824,30
8685,23
12155,30
6626,47
1686,26
1056.66,30
7365,30
6475,23
204.5,7
5271,45
1000,30
10226,30
2076.1,30
56,30
0,30
15,23
0,18
178,60
8111.62,66
317,60
2714,15
25171,60
60,60
98409.52,7
130,60
70,31
1070,28
16,23
0,44
10406,30
585,30
2454,40
18,30
5,30
5845,30
0,9
600.33,30
11085.24,35
50,30
0,30
71,23
0,30
2054.32,31
623,60
585,30
60,30
51,35
14082,30
35,30
0,30
10617,30
5855,45
1503.22,11
0,30
650,40
9,20
27268,32
0,60
28083,30
9131,30
4590,90
2841,22
30,60
820,24
180000,60
55,30
10773,33
19760.67,30
85,30
173,23
2500,34
1332,18
114,30
285,30
825,34
4115,28
23234.95,36
25,22
400,31
32760.27,30
3580,31
74,5
0,45
0,30
4135,33
0,30
166,30
1001,30
72,16
0,60
150,30
3334,30
11,33
51,30
170,30
202,30
60,56
264,13
1000,30
0,30
5,30
54233,39
20565,36
125,15
1,59
0,30
1925.21,30
16240,30
85,50
120,38
1946,24
20,60
37954,29
1315,22
700,30
1,30
25,30
12082,35
10892,16
0,31
20,25
326,35
2183,25
20101,60
0,30
200,33
113,30
2105.37,30
3883,45
5180,30
6111,45
1417,31
298,30
6193,25
20070,30
1137,30
13565,37
0,30
310,20
0,30
166,30
157.77,47
322,30
50,30
0,30
45,45
485,30
23001,32
1099,30
411,30
650,30
9257,30
826.5,19
2512.39,25
3175,30
15371,60
45181,38
11,30
3050,30
0,48
2583,28
2978,38
100,30
0,30
76,30
1675,50
1,30
4813,33
5,30
31291,58
8021,30
1200,35
0,60
34436.65,46
1,19
0,29
3586,30
127412.01,31
0,25
3675,28
11,30
25,30
254971,45
4755,31
8,60
10,23
2664.5,14
1640,45
45,60
2830,15
30,47
115,30
13075,40
550,60
1735,30
1531.55,60
122,30
2346,30
2550,42
628,45
27154,45
0,30
2754.51,22
421,30
2082,16
2052,60
57249,30
0,60
0,30
0,30
6325,8
800,60
9543,35
0,30
17410,46
280,44
1895,22
1,60
2585,60
23474.2,29
0,30
1,32
790,30
800,14
100,45
0,31
25253,45
950,30
100,42
10110,45
143555,31
2402,36
1452,40
45,30
